RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Mín2022-2023,Mn/PJ2022-2023,% min2022-2023,90 s2022-2023,Titular2022-2023,Mn/arranque2022-2023,Compl2022-2023,Sup2022-2023,Mn/Sust2022-2023,Partidos como sustituto2022-2023,PPP2022-2023,onG2022-2023,onGA2022-2023,+/-2022-2023,+/-902022-2023,Dentro-Fuera2022-2023,onxG2022-2023,onxGA2022-2023,xG+/-2022-2023,xG+/-902022-2023,Dentro-Fuera.12022-2023
117,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,5,200.0,40.0,5.8,2.2,1,58.0,0,4,36.0,23,0.8,2.0,2.0,0.0,0.0,0.31,0.6,1.5,-0.9,-0.39,-0.16
118,Lukáš Ambros,cz CZE,CC,Wolfsburg,de Bundesliga,18,2004,1,17.0,17.0,0.6,0.2,0,0.0,0,1,17.0,8,0.0,0.0,2.0,-2.0,-10.59,-10.91,0.0,1.0,-1.0,-5.36,-5.39
119,Wisdom Amey,it ITA,DF,Bologna,it Serie A,16,2005,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,30,2372.0,79.0,69.4,26.4,26,87.0,22,4,31.0,0,0.73,21.0,42.0,-21.0,-0.8,0.06,32.0,41.6,-9.6,-0.37,0.35
243,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,27,2144.0,138.0,62.7,23.8,26,141.0,17,1,22.0,9,0.62,19.0,44.0,-25.0,-2.59,-0.30999999999999994,22.599999999999998,41.5,-18.8,-2.05,-0.73
123,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,25,1996,25,977.0,39.0,31.9,10.9,9,75.0,2,16,19.0,4,1.44,19.0,20.0,-1.0,-0.09,-0.48,14.4,12.8,1.6,0.15,-0.16
124,Samuel Amo-Ameyaw,eng ENG,CC,Southampton,eng Premier League,16,2006,1,4.0,4.0,0.1,0.0,0,0.0,0,1,4.0,0,1.0,0.0,0.0,0.0,0.0,0.97,0.1,0.7,-0.6,-13.93,-13.34
251,Ethan Ampadu,wls WAL,"DF,CC",Chelsea,eng Premier League,21,2000,31,2639.0,85.0,77.2,29.3,31,85.0,22,0,0.0,3,0.75,22.0,42.0,-20.0,-0.68,0.59,32.6,43.9,-11.3,-0.38,0.39
127,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,25,1996,29,1998.0,69.0,58.4,22.2,24,79.0,11,5,23.0,4,1.41,29.0,27.0,2.0,0.09,-0.42,30.5,25.7,4.8,0.22,-0.22
128,Ayoub Amraoui,ma MAR,"DF,DL",Nice,fr Ligue 1,18,2004,7,294.0,42.0,8.6,3.3,3,75.0,2,4,17.0,4,1.71,5.0,3.0,2.0,0.61,0.35,6.4,2.9,3.6,1.09,0.83
