RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG
76,Steven Alzate,co COL,CC,Brighton,eng Premier League,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,21,6,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
77,Ibrahim Amadou,fr FRA,"DF,CC",Metz,fr Ligue 1,28,1993,10,10,812,9.0,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.5,6,21,1,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05
78,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,3,1,79,0.9,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,4,6,0.00,1.14,1.14,0.00,1.14,0.03,0.10,0.13,0.03,0.13
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,28,23,2123,23.6,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,14,62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
80,Amath,sn SEN,"DL,CC",Mallorca,es La Liga,25,1996,19,9,884,9.8,0,1,1,0,0,0,5,0,1.4,1.4,0.9,2.3,18,19,58,0.00,0.10,0.10,0.00,0.10,0.14,0.10,0.23,0.14,0.23
81,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,8,4,413,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,13,28,21,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
82,Jordan Amavi,fr FRA,"DF,DL",Marseille,fr Ligue 1,27,1994,2,2,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
83,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,32,31,2646,29.4,1,1,2,1,0,0,9,2,2.6,2.6,1.3,3.9,38,64,50,0.03,0.03,0.07,0.03,0.07,0.09,0.04,0.13,0.09,0.13
85,Nadiem Amiri,de GER,"CC,DL",Genoa,it Serie A,24,1996,13,9,683,7.6,0,1,1,0,0,0,0,0,0.9,0.9,2.1,3.0,17,33,34,0.00,0.13,0.13,0.00,0.13,0.12,0.28,0.40,0.12,0.40
86,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,24,1996,13,3,369,4.1,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,17,21,29,0.24,0.00,0.24,0.24,0.24,0.11,0.08,0.19,0.11,0.19
87,Ethan Ampadu,wls WAL,"CC,DF",Venezia,it Serie A,20,2000,29,26,2282,25.4,0,3,3,0,0,0,13,2,0.3,0.3,1.6,1.9,26,112,23,0.00,0.12,0.12,0.00,0.12,0.01,0.06,0.08,0.01,0.08
88,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,24,1996,23,8,944,10.5,1,0,1,1,0,0,6,0,0.1,0.1,0.2,0.4,13,63,3,0.10,0.00,0.10,0.10,0.10,0.01,0.02,0.04,0.01,0.04
89,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,34,32,2916,32.4,0,3,3,0,0,0,4,0,0.7,0.7,1.7,2.4,14,100,4,0.00,0.09,0.09,0.00,0.09,0.02,0.05,0.07,0.02,0.07
90,Felipe Anderson,br BRA,DL,Lazio,it Serie A,28,1993,38,33,2888,32.1,6,8,14,6,0,0,2,0,6.2,6.2,6.5,12.7,142,123,264,0.19,0.25,0.44,0.19,0.44,0.19,0.20,0.40,0.19,0.40
91,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,30,1991,26,13,1257,14.0,3,1,4,3,0,0,3,0,4.5,4.5,1.0,5.5,10,14,86,0.21,0.07,0.29,0.21,0.29,0.32,0.07,0.39,0.32,0.39
92,Florin Andone,ro ROU,DL,Cádiz,es La Liga,28,1993,5,1,176,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0,2,11,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.16,0.12,0.16
93,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,17,12,1046,11.6,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,18,44,15,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
94,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,30,1990,33,33,2752,30.6,2,1,3,2,0,0,12,1,1.4,1.4,1.3,2.7,38,178,59,0.07,0.03,0.10,0.07,0.10,0.05,0.04,0.09,0.05,0.09
95,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,9,2,353,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,11,18,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
96,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,24,1996,29,8,973,10.8,1,3,4,1,0,0,3,0,3.0,3.0,2.6,5.6,19,20,62,0.09,0.28,0.37,0.09,0.37,0.28,0.24,0.52,0.28,0.52
