RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
831,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,33,1988,15.0,1147.0,154.0,632.0,484.0,38.0,12.0,1147.0,3.0,2.0,66.7,1.0,33.3,657.0,2803.0,1537.0,1.0,3.0,0.0,4.0,0.0,747.0,4.0
832,Eberechi Eze,eng ENG,"CC,DL",Crystal Palace,eng Premier League,23,1998,6.7,376.0,4.0,48.0,190.0,143.0,11.0,376.0,23.0,14.0,60.9,9.0,39.1,222.0,1381.0,662.0,20.0,16.0,3.0,20.0,10.0,262.0,38.0
833,Abdessamad Ezzalzouli,ma MAR,DL,Barcelona,es La Liga,19,2001,6.4,302.0,1.0,42.0,77.0,193.0,52.0,302.0,59.0,34.0,57.6,25.0,42.4,214.0,2030.0,1194.0,47.0,21.0,24.0,23.0,12.0,215.0,76.0
834,Łukasz Fabiański,pl POL,PO,West Ham,eng Premier League,36,1985,37.0,1084.0,978.0,1081.0,3.0,0.0,0.0,1084.0,0.0,0.0,,0.0,,593.0,3722.0,2293.0,0.0,0.0,0.0,0.0,1.0,414.0,0.0
835,Fabinho,br BRA,CC,Liverpool,eng Premier League,27,1993,25.7,1788.0,42.0,343.0,1175.0,281.0,21.0,1786.0,15.0,11.0,73.3,4.0,26.7,942.0,3953.0,1874.0,18.0,27.0,1.0,24.0,13.0,1231.0,37.0
836,Fábio,br BRA,DF,Nantes,fr Ligue 1,31,1990,18.5,1071.0,48.0,318.0,505.0,259.0,17.0,1071.0,24.0,14.0,58.3,10.0,41.7,469.0,2497.0,1162.0,26.0,25.0,1.0,20.0,9.0,476.0,75.0
837,Cesc Fàbregas,es ESP,CC,Monaco,fr Ligue 1,34,1987,0.4,59.0,1.0,8.0,24.0,27.0,1.0,59.0,1.0,0.0,0.0,1.0,100.0,31.0,96.0,50.0,2.0,0.0,1.0,0.0,0.0,42.0,3.0
838,Wout Faes,be BEL,DF,Reims,fr Ligue 1,23,1998,37.0,1843.0,330.0,1110.0,682.0,66.0,32.0,1843.0,9.0,7.0,77.8,2.0,22.2,1100.0,6230.0,3604.0,13.0,13.0,1.0,21.0,4.0,1118.0,10.0
839,Wahid Faghir,dk DEN,DL,Stuttgart,de Bundesliga,18,2003,1.4,46.0,0.0,0.0,17.0,31.0,6.0,46.0,6.0,5.0,83.3,1.0,16.7,35.0,161.0,59.0,2.0,6.0,1.0,4.0,1.0,43.0,18.0
840,Romain Faivre,fr FRA,"DL,CC",Lyon,fr Ligue 1,23,1998,9.9,705.0,6.0,61.0,329.0,324.0,36.0,705.0,41.0,22.0,53.7,19.0,46.3,521.0,3667.0,1947.0,63.0,40.0,15.0,24.0,11.0,532.0,72.0
