Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
54,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,25,1868,75,54.6,20.8,20,88,18,5,23,10,1.16,21,32,-11,-0.53,-0.24,23.7,28.1,-4.5,-0.21,+0.06,Partidos
55,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,27,1991,30,2408,80,78.7,26.8,26,89,23,4,24,0,2.53,74,21,+53,+1.98,+1.57,69.1,19.6,+49.5,+1.85,+0.62,Partidos
56,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,27,1991,34,2976,88,87.0,33.1,34,88,31,0,,1,1.18,29,43,-14,-0.42,+0.59,34.7,49.6,-14.9,-0.45,+0.06,Partidos
57,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,2922,86,85.4,32.5,33,88,30,1,19,3,1.91,56,31,+25,+0.77,+0.23,46.7,37.0,+9.7,+0.30,+0.64,Partidos
58,Álex Alegría,es ESP,"DL,CC",Rayo Vallecano,es La Liga,25,1992,9,140,16,4.1,1.6,0,,0,9,15,4,0.89,0,6,-6,-3.86,-3.23,1.8,3.3,-1.5,-0.97,-0.70,Partidos
59,Alexis Alegue,fr FRA,DL,Nantes,fr Ligue 1,21,1996,1,5,5,0.1,0.1,0,,0,1,5,0,0.00,1,0,+1,+18.00,+18.03,0.0,0.0,0.0,+0.21,+0.15,Partidos
60,Iván Alejo,es ESP,CC,Getafe,es La Liga,23,1995,4,146,37,4.3,1.6,2,59,0,2,15,4,1.00,1,0,+1,+0.62,+0.29,1.1,1.2,-0.1,-0.03,-0.11,Partidos
61,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,20,1998,17,637,37,18.6,7.1,6,78,1,11,15,10,2.06,16,8,+8,+1.13,-0.36,14.3,11.0,+3.3,+0.46,-0.42,Partidos
62,Alex,es ESP,PO,Atlético Madrid,es La Liga,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Partidos
63,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,23,1995,25,2250,90,65.8,25.0,25,90,25,0,,12,1.04,24,43,-19,-0.76,+0.01,29.2,37.9,-8.7,-0.35,+0.40,Partidos
64,Alexander,ar ARG,DL,Leganés,es La Liga,29,1988,1,10,10,0.3,0.1,0,,0,1,9,0,0.00,0,1,-1,-9.00,-8.87,0.0,0.3,-0.3,-2.58,-2.58,Partidos
65,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,2462,85,72.0,27.4,27,88,20,2,40,4,2.69,67,14,+53,+1.94,+0.62,58.8,21.2,+37.6,+1.38,+0.69,Partidos
66,Abdallah Ali Mohamed,km COM,DF,Marseille,fr Ligue 1,19,1999,0,,,,,0,,0,0,,5,,,,,,,,,,,,Partidos
67,Marco Alia,al ALB,PO,Lazio,it Serie A,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
68,Rachid Alioui,ma MAR,DL,Nîmes,fr Ligue 1,26,1992,27,1252,46,36.6,13.9,11,86,9,16,19,4,1.52,23,21,+2,+0.14,+0.27,19.7,20.0,-0.3,-0.02,+0.24,Partidos
69,Alisson,br BRA,PO,Liverpool,eng Premier League,25,1992,38,3420,90,100.0,38.0,38,90,38,0,,0,2.55,89,22,+67,+1.76,,73.7,28.8,+44.9,+1.18,,Partidos
70,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,26,1991,13,1170,90,34.2,13.0,13,90,13,0,,25,0.62,7,17,-10,-0.77,-0.01,10.6,20.3,-9.7,-0.75,-0.40,Partidos
71,Allan,br BRA,CC,Napoli,it Serie A,27,1991,33,2616,79,76.5,29.1,28,88,26,5,30,0,2.09,57,29,+28,+0.96,-0.16,45.8,30.5,+15.3,+0.53,-0.40,Partidos
72,Allan,br BRA,CC,Eint Frankfurt,de Bundesliga,21,1997,4,176,44,5.8,2.0,2,69,1,2,20,3,2.00,6,2,+4,+2.05,+1.80,3.9,2.8,+1.0,+0.53,+0.35,Partidos
