Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
94,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,2173,1640,521,63,2,43,260,413,45,2,41,2,1386,12,69,Partidos
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,34,1984,11.0,363,257,104,27,0,0,0,0,0,0,0,0,292,2,0,Partidos
96,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,31,1986,20.1,888,671,210,32,3,25,147,152,25,7,3,1,574,7,29,Partidos
97,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,33,1984,23.7,541,498,43,2,0,1,29,4,1,0,0,0,410,0,20,Partidos
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,1733,1644,86,74,0,17,5,12,0,0,0,0,1444,3,25,Partidos
99,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,1987,8.4,381,322,55,8,0,2,8,46,0,0,0,0,271,4,11,Partidos
100,Mauro Antonio Burruchaga,ar ARG,CC,Chievo,it Serie A,20,1998,0.6,39,36,3,3,0,0,0,0,0,0,0,0,31,0,1,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
101,Michail Antonio,jm JAM,"CC,DL",West Ham,eng Premier League,28,1990,23.4,773,713,58,2,5,7,50,53,0,0,0,0,496,2,37,Partidos
102,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,30,1987,20.7,896,734,157,9,1,2,93,148,0,0,0,0,644,5,31,Partidos
103,Vitorino Antunes,pt POR,"DF,CC",Getafe,es La Liga,31,1987,24.2,1198,820,366,64,0,20,141,256,46,11,19,3,701,12,41,Partidos
104,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,23,1995,12.0,400,390,7,5,1,5,2,0,1,0,0,0,296,3,11,Partidos
105,Dennis Aogo,de GER,CC,Stuttgart,de Bundesliga,31,1987,11.4,580,522,55,20,0,9,52,8,27,11,16,0,474,3,8,Partidos
106,Houssem Aouar,dz ALG,CC,Lyon,fr Ligue 1,20,1998,34.0,2078,2034,37,29,8,11,7,6,2,0,2,0,1793,7,43,Partidos
107,Emmanuel Apeh,ng NGA,"DL,CC",Celta Vigo,es La Liga,21,1996,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,Partidos
108,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,22,1995,29.7,776,743,23,15,2,36,24,3,2,0,1,1,519,10,16,Partidos
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,1997,7.0,289,236,51,3,0,0,19,48,0,0,0,0,231,2,13,Partidos
110,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,29,1989,21.0,1661,1593,60,43,2,11,24,3,14,7,7,0,1457,8,25,Partidos
111,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,22,1996,8.7,317,283,29,10,2,5,30,8,10,2,6,0,232,5,7,Partidos
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,1502,1450,49,43,1,9,2,6,0,0,0,0,1291,3,8,Partidos
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,1152,1077,71,47,1,42,8,24,0,0,0,0,863,4,14,Partidos
114,Joaquín Ardaiz,uy URU,DL,Frosinone,it Serie A,19,1999,0.2,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1,Partidos
115,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,25,1993,21.0,516,354,162,23,0,2,0,0,0,0,0,0,445,0,1,Partidos
116,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,1015,832,182,9,0,2,51,173,0,0,0,0,787,1,25,Partidos
117,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,639,592,45,44,1,1,1,1,0,0,0,0,528,2,3,Partidos
118,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,25,22,3,0,1,0,0,3,0,0,0,0,20,0,0,Partidos
119,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,1998,20.6,901,713,187,7,0,3,71,180,0,0,0,0,635,1,18,Partidos
120,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,26,1992,15.9,648,607,37,4,0,6,25,6,13,4,3,4,492,4,29,Partidos
121,José Arnaiz,es ESP,"CC,DL",Leganés,es La Liga,23,1995,1.3,32,32,0,0,0,0,2,0,0,0,0,0,25,0,1,Partidos
122,Marko Arnautović,at AUT,DL,West Ham,eng Premier League,29,1989,22.1,667,617,48,1,6,1,18,7,0,0,0,0,490,2,21,Partidos
123,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,24,1994,31.9,1473,1258,207,113,4,38,134,23,71,30,25,3,1111,8,20,Partidos
124,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,23,1994,36.0,1161,863,296,40,0,2,0,0,0,0,0,0,1011,2,1,Partidos
125,Harry Arter,ie IRL,CC,Cardiff City,eng Premier League,28,1989,22.2,680,612,65,11,3,7,17,2,0,0,0,0,539,3,12,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
126,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,2217,1986,230,25,1,26,74,205,0,0,0,0,1927,1,31,Partidos
127,Takuma Asano,jp JPN,"CC,DL",Hannover 96,de Bundesliga,23,1994,7.8,162,160,1,0,0,0,9,1,0,0,0,0,110,1,11,Partidos
128,Santiago Ascacíbar,ar ARG,CC,Stuttgart,de Bundesliga,21,1997,27.0,1111,1085,22,17,1,5,11,5,0,0,0,0,888,4,24,Partidos
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,29,1989,32.0,826,477,343,89,0,2,0,0,0,0,0,0,544,6,1,Partidos
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,22,1996,19.8,1024,957,58,6,7,8,78,25,25,3,6,0,839,9,30,Partidos
131,Iago Aspas,es ESP,"DL,CC",Celta Vigo,es La Liga,30,1987,25.0,919,875,38,13,7,9,32,13,3,1,0,0,731,6,24,Partidos
132,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,37,32,5,0,0,0,1,5,0,0,0,0,21,0,1,Partidos
133,Youcef Atal,dz ALG,"DF,DL",Nice,fr Ligue 1,22,1996,25.1,1261,1056,204,27,3,7,72,175,2,0,1,0,1024,1,28,Partidos
134,Christian Atsu,gh GHA,CC,Newcastle Utd,eng Premier League,26,1992,16.6,435,423,8,0,3,1,42,5,3,1,1,0,328,4,17,Partidos
135,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,29,1989,30.3,744,701,37,0,3,1,43,3,0,0,0,0,524,6,28,Partidos
136,Emil Audero,it ITA,PO,Sampdoria,it Serie A,21,1997,36.0,1161,773,384,87,0,0,0,0,0,0,0,0,868,4,1,Partidos
137,Jean-Kévin Augustin,fr FRA,DL,RB Leipzig,de Bundesliga,21,1997,5.1,88,85,3,0,0,0,2,0,0,0,0,0,69,0,3,Partidos
138,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,1972,1615,354,37,0,12,129,301,16,9,7,0,1546,3,54,Partidos
139,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,25,1992,6.3,348,289,59,4,0,1,24,55,0,0,0,0,253,0,13,Partidos
140,Charlie Austin,eng ENG,DL,Southampton,eng Premier League,29,1989,10.9,200,191,7,1,0,0,0,0,0,0,0,0,116,2,5,Partidos
141,Ezequiel Ávila,ar ARG,"DL,CC",Huesca,es La Liga,24,1994,22.2,583,546,31,1,6,19,40,14,1,0,1,0,296,6,32,Partidos
142,Jordan Ayew,gh GHA,DL,Crystal Palace,eng Premier League,26,1991,13.1,283,263,18,0,2,1,15,1,0,0,0,0,207,2,13,Partidos
143,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,1440,1348,90,79,3,48,4,11,0,0,0,0,1265,2,9,Partidos
144,Floyd Ayité,tg TOG,"DL,CC",Fulham,eng Premier League,29,1988,5.3,200,195,5,1,0,1,6,2,2,1,1,0,156,0,7,Partidos
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,2950,2563,381,38,2,4,118,343,0,0,0,0,2494,6,74,Partidos
146,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,1054,1006,46,44,1,7,1,2,0,0,0,0,867,2,6,Partidos
147,Florian Baak,de GER,CC,Hertha BSC,de Bundesliga,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Partidos
