Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Juan Fernando Quintero,29,0,Colombia,3.5,Junior FC,Liga Dimayor I,Colombia,0,
Alexis Canelo,30,3,Argentina,3.5,Club Tijuana,Liga MX Clausura,Mexico,0,
Manuel Castro,27,9,Uruguay,3.5,FC Juárez,Liga MX Clausura,Mexico,0,
Domingo Blanco,27,1,Argentina,3.5,SK Dnipro-1,Premier Liga,Ukraine,0,
Joakim Nilsson,28,2,Sweden,3.5,St. Louis CITY,United States,United States,0,
Carlos Andrés Gómez,20,10,Colombia,2.5,Salt Lake,MLS,United States,2,3.49
Harrison Ashby,21,11,Scotland,3.0,Newcastle,Premier League,England,2,3.4
Jimmy-Jay Morgan,17,3,England,,Chelsea U21,Premier League 2,England,2,3.4
Ahmed Musa,29,10,Nigeria,3.4,Sivasspor,Süper Lig,Turkey,0,
Gift Orban,20,3,Nigeria,1.0,KAA Gent,Jupiler Pro League,Belgium,2,3.3
Saba Lobzhanidze,28,7,Georgia,3.3,Karagümrük,Süper Lig,Turkey,1,
Jhoanner Chávez,20,8,Ecuador,2.0,EC Bahia,Série A,Brazil,2,3.25
Isak Hien,23,2,Sweden,1.0,Hellas Verona,Serie A,Italy,2,3.2
Manu García,24,0,Spain,3.0,Aris Saloniki,Super League 1,Greece,2,3.2
João Klauss,25,3,Brazil,3.0,St. Louis CITY,United States,United States,2,3.2
Vakoun Bayo,25,3,Cote d'Ivoire,3.2,RSC Charleroi,Jupiler Pro League,Belgium,2,1.5
Patrick van Aanholt,32,8,Netherlands,3.2,PSV Eindhoven,Eredivisie,Netherlands,1,
João Figueiredo,26,3,Brazil,3.2,Basaksehir,Süper Lig,Turkey,2,6.5
Lucas Romero,28,4,Argentina,3.2,León,Liga MX Clausura,Mexico,2,5.64
Ebrima Colley,22,10,The Gambia,3.2,Karagümrük,Süper Lig,Turkey,1,
Cédric Brunner,28,11,Switzerland,3.2,FC Schalke 04,Bundesliga,Germany,0,
Jorge Morel,25,2,Paraguay,3.2,Adana Demirspor,Süper Lig,Turkey,1,
Emirhan Ilkhan,18,1,Turkey,3.0,Torino,Serie A,Italy,2,4.9
Sotiris Alexandropoulos,20,1,Greece,3.0,Sporting CP,Liga Portugal,Portugal,2,4.0
Arkadiusz Reca,27,8,Poland,3.0,Spezia Calcio,Serie A,Italy,2,3.9
Josha Vagnoman,21,11,Germany,3.0,VfB Stuttgart,Bundesliga,Germany,2,3.7
Ishaq Abdulrazak,20,9,Nigeria,3.0,RSC Anderlecht,Jupiler Pro League,Belgium,2,3.0
Roberto Fernández,22,2,Paraguay,1.3,Dynamo Moscow,Premier Liga,Russia,2,3.0
Elias Cobbaut,24,2,Belgium,3.0,Parma,Serie B,Italy,2,3.0
Jayden Oosterwolde,21,8,Netherlands,1.0,Parma,Serie B,Italy,2,3.0
Osman Bukari,23,10,Ghana,3.0,Red Star,Super liga Srbije,Serbia,2,3.0
Nicolai Vallys,25,0,Denmark,1.5,Bröndby IF,Superligaen,Denmark,2,3.0
Joaquim,24,2,Brazil,5.0,Santos,Série A,Brazil,2,3.0
Alan Matturro,18,2,Uruguay,1.7,Genoa,Serie B,Italy,2,3.0
Daniel Mancini,26,10,Argentina,2.5,Panathinaikos,Super League 1,Greece,2,3.0
Ibrahim Salah,21,7,Morocco,8.0,Rennes,Ligue 1,France,2,3.0
Mamadou Coulibaly,23,1,Senegal,2.5,Salernitana,Serie A,Italy,2,3.0
Robert Ljubicic,22,8,Croatia,2.5,Dinamo Zagreb,SuperSport HNL,Croatia,2,3.0
Albert Grönbaek,21,1,Denmark,1.5,Bodø/Glimt,Eliteserien,Norway,2,3.0
Matthew Hoppe,21,3,United States,1.0,Middlesbrough,Championship,England,2,3.0
Dmytro Riznyk,24,5,Ukraine,2.0,Shakhtar D.,Premier Liga,Ukraine,2,3.0
Jean-Eudes Aholou,28,4,Cote d'Ivoire,3.0,R. Strasbourg,Ligue 1,France,2,3.0
Veton Berisha,28,3,Norway,1.8,Molde,Eliteserien,Norway,2,3.0
Liberato Cacace,21,8,New Zealand,2.5,FC Empoli,Serie A,Italy,2,3.0
Lucas Fasson,21,2,Brazil,1.5,Loko Moscow,Premier Liga,Russia,2,3.0
Mario Mitaj,19,8,Albania,5.0,Loko Moscow,Premier Liga,Russia,2,3.0
Bafodé Diakité,21,11,France,3.0,LOSC Lille,Ligue 1,France,2,3.0
Thierno Baldé,20,11,France,2.0,Troyes,Ligue 1,France,2,3.0
Arijanet Muric,23,5,Kosovo,2.6,Burnley,Championship,England,2,3.0
Rasmus Carstensen,21,11,Denmark,1.5,KRC Genk,Jupiler Pro League,Belgium,2,3.0
Matías Palacios,20,0,Argentina,2.0,Al-Ain FC,UAE Pro League,United Arab Emirates,2,3.0
Luca Valzania,26,1,Italy,1.2,Cremonese,Serie A,Italy,2,3.0
Luca Zanimacchia,23,10,Italy,2.0,Cremonese,Serie A,Italy,2,3.0
Gui Guedes,20,1,Portugal,5.0,UD Almería,LaLiga,Spain,2,3.0
Matteo Tramoni,22,7,France,2.2,Pisa,Serie B,Italy,2,3.0
Marcel Tisserand,29,2,DR Congo,2.8,Ettifaq FC,Saudi Pro League,Saudi Arabia,2,3.0
Vivaldo,17,3,Portugal,,Udinese U19,Primavera 1,Italy,2,3.0
José Gragera,22,1,Spain,3.0,Espanyol,LaLiga,Spain,2,2.8
Léo,26,2,Brazil,3.0,Vasco da Gama,Série A,Brazil,2,2.8
Leonardo Campana,22,3,Ecuador,3.0,Miami,MLS,United States,2,2.7
Matt Clarke,25,2,England,3.0,Middlesbrough,Championship,England,2,2.6
Hrvoje Smolcic,21,2,Croatia,3.0,E. Frankfurt,Bundesliga,Germany,2,2.5
Antonio Colak,28,3,Croatia,3.0,Rangers,Premiership,Scotland,2,2.5
Eduard Sobol,27,8,Ukraine,3.0,R. Strasbourg,Ligue 1,France,2,2.5
Felipe,33,2,Brazil,3.0,Nottm Forest,Premier League,England,2,2.3
Fernando Pacheco,30,5,Spain,3.0,Espanyol,LaLiga,Spain,2,2.2
Zanocelo,21,1,Brazil,3.0,Santos,Série A,Brazil,2,2.0
Nathan,20,11,Brazil,3.0,Santos,Série A,Brazil,2,2.0
Adama Traoré,27,10,Mali,3.0,Ferencváros,NB I.,Hungary,2,2.0
Rochinha,27,7,Portugal,3.0,Sporting CP,Liga Portugal,Portugal,2,2.0
Philip Zinckernagel,27,0,Denmark,3.0,Olympiacos,Super League 1,Greece,2,2.0
Ben Malango,28,3,DR Congo,3.0,Qatar SC,Stars League,Qatar,2,2.0
Léo Jardim,27,5,Brazil,3.0,Vasco da Gama,Série A,Brazil,2,2.0
Cédric Hountondji,28,2,Benin,3.0,Angers SCO,Ligue 1,France,2,2.0
Ramiro Enrique,21,3,Argentina,3.0,Orlando,MLS,United States,2,1.84
Matías Kranevitter,29,4,Argentina,3.0,River Plate,Copa de la Liga,Argentina,2,1.7
Gautier Larsonneur,25,5,France,3.0,Saint-Étienne,Ligue 2,France,2,1.6
László Bénes,24,1,Slovakia,3.0,Hamburger SV,2. Bundesliga,Germany,2,1.5
