RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
245,Musa Barrow,gm GAM,"DL,CC",Atalanta,it Serie A,20.0,1998.0,7,190.0,27.0,5.6,2.1,1,56.0,0,6,22.0,11,1.43,5.0,0.0,5.0,2.37,1.11,6.7,1.4,5.3,2.52,1.49
246,Fin Bartels,de GER,"CC,DL",Werder Bremen,de Bundesliga,32.0,1987.0,14,340.0,24.0,11.1,3.8,1,61.0,0,13,21.0,2,0.5,1.0,9.0,-8.0,-2.12,-1.49,3.5,6.2,-2.7,-0.72,-0.28
247,Marc Bartra,es ESP,"DF,CC",Betis,es La Liga,28.0,1991.0,30,2524.0,84.0,73.8,28.0,29,86.0,25,1,26.0,6,1.07,32.0,48.0,-16.0,-0.57,-0.97,36.3,43.6,-7.3,-0.26,-0.62
248,Daniele Baselli,it ITA,CC,Torino,it Serie A,27.0,1992.0,16,1278.0,80.0,37.4,14.2,16,80.0,6,0,,2,1.13,16.0,23.0,-7.0,-0.49,0.14,14.1,24.0,-9.8,-0.69,-0.43
249,Chris Basham,eng ENG,DF,Sheffield Utd,eng Premier League,31.0,1988.0,38,3242.0,85.0,94.8,36.0,38,85.0,25,0,,0,1.42,33.0,37.0,-4.0,-0.11,-2.13,39.1,47.2,-8.1,-0.22,-0.29
250,Toma Bašić,hr CRO,CC,Bordeaux,fr Ligue 1,22.0,1996.0,15,991.0,66.0,39.3,11.0,11,83.0,6,4,19.0,6,1.53,14.0,14.0,0.0,0.0,-0.35,13.0,16.2,-3.2,-0.29,-0.09
251,Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,20.0,1999.0,7,415.0,59.0,16.5,4.6,3,91.0,3,4,36.0,10,0.57,4.0,8.0,-4.0,-0.87,-0.91,4.6,4.0,0.6,0.13,0.21
252,Gil Bastião Dias,pt POR,"CC,DF",Granada,es La Liga,22.0,1996.0,12,356.0,30.0,10.4,4.0,3,77.0,1,9,14.0,2,1.67,8.0,2.0,6.0,1.52,1.49,6.5,2.9,3.6,0.9,0.94
253,Gil Bastião Dias,pt POR,"DF,CC",Monaco,fr Ligue 1,22.0,1996.0,14,1057.0,76.0,41.9,11.7,12,84.0,10,2,26.0,6,1.57,17.0,11.0,6.0,0.51,0.88,18.4,16.6,1.9,0.16,-0.1
254,Borja Bastón,es ESP,"CC,DL",Aston Villa,eng Premier League,26.0,1992.0,2,18.0,9.0,0.5,0.2,0,,0,2,9.0,3,0.0,0.0,2.0,-2.0,-10.0,-9.37,0.0,1.3,-1.3,-6.33,-5.74
255,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,20.0,1999.0,25,1921.0,77.0,56.2,21.3,21,87.0,16,4,25.0,11,2.0,51.0,23.0,28.0,1.31,0.29,41.9,22.8,19.1,0.89,0.31
256,Bastos,ao ANG,DF,Lazio,it Serie A,28.0,1991.0,16,765.0,48.0,22.4,8.5,6,83.0,5,10,27.0,21,1.69,15.0,12.0,3.0,0.35,-0.8,14.7,13.4,1.3,0.15,-0.37
257,Lewis Bate,eng ENG,CC,Chelsea,eng Premier League,16.0,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
258,Oliver Batista-Meier,de GER,CC,Bayern Munich,de Bundesliga,18.0,2001.0,1,13.0,13.0,0.4,0.1,0,,0,1,13.0,10,3.0,0.0,0.0,0.0,0.0,-2.01,0.1,0.0,0.1,0.51,-1.02
259,Michy Batshuayi,be BEL,DL,Chelsea,eng Premier League,25.0,1993.0,16,239.0,15.0,7.0,2.7,1,67.0,0,15,11.0,12,1.5,5.0,8.0,-3.0,-1.13,-1.64,5.8,3.4,2.4,0.89,0.1
260,Cristian Battocchio,it ITA,CC,Brest,fr Ligue 1,27.0,1992.0,24,1392.0,58.0,55.2,15.5,16,81.0,9,8,11.0,2,1.38,22.0,21.0,1.0,0.06,0.38,20.4,23.2,-2.8,-0.18,0.77
261,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,29.0,1990.0,30,2700.0,90.0,88.2,30.0,30,90.0,30,0,,0,1.53,47.0,49.0,-2.0,-0.07,-0.57,49.3,51.7,-2.4,-0.08,0.17
262,Julian Baumgartlinger,at AUT,CC,Leverkusen,de Bundesliga,31.0,1988.0,27,1791.0,66.0,58.5,19.9,20,82.0,13,7,21.0,2,1.81,37.0,30.0,7.0,0.35,-0.36,35.9,32.5,3.4,0.17,-0.14
263,Christoph Baumgartner,at AUT,"CC,DL",Hoffenheim,de Bundesliga,19.0,1999.0,26,1493.0,57.0,48.8,16.6,17,76.0,6,9,21.0,6,1.46,24.0,29.0,-5.0,-0.3,-0.59,29.7,30.7,-1.0,-0.06,0.08
