RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019
108,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,22,1995,29.7,8,0,0,65,57,1,24,30,33,1,1,1,166,53,44,54.6
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,1997,7.0,3,0,0,5,8,0,19,9,6,0,0,0,35,3,3,50.0
110,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,29,1989,21.0,3,0,0,27,32,0,24,25,30,0,0,0,160,12,11,52.2
111,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,22,1996,8.7,2,1,0,22,8,1,30,3,17,0,0,0,35,1,11,8.3
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,3,1,1,15,4,1,2,35,22,0,1,0,127,70,46,60.3
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,6,1,1,14,5,0,8,46,24,0,0,0,151,59,41,59.0
114,Joaquín Ardaiz,uy URU,DL,Frosinone,it Serie A,19,1999,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0
115,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,25,1993,21.0,1,0,0,0,1,0,0,0,1,0,0,0,27,2,1,66.7
116,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,4,0,0,21,32,2,51,34,32,0,0,0,99,41,34,54.7
117,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,2,0,0,15,22,1,1,14,14,0,0,1,62,47,29,61.8
118,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0.0
119,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,1998,20.6,5,1,1,19,15,1,71,21,21,0,1,0,87,26,27,49.1
120,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,26,1992,15.9,2,0,0,20,21,3,25,12,20,0,1,0,79,17,22,43.6
121,José Arnaiz,es ESP,"CC,DL",Leganés,es La Liga,23,1995,1.3,0,0,0,1,4,0,2,2,1,0,0,0,5,4,1,80.0
122,Marko Arnautović,at AUT,DL,West Ham,eng Premier League,29,1989,22.1,3,0,0,30,12,21,18,3,5,0,1,0,48,22,24,47.8
123,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,24,1994,31.9,7,0,0,45,81,2,134,35,30,1,0,0,207,25,44,36.2
124,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,23,1994,36.0,2,0,0,0,4,0,0,0,1,0,0,0,57,7,0,100.0
125,Harry Arter,ie IRL,CC,Cardiff City,eng Premier League,28,1989,22.2,10,0,0,25,14,2,17,21,37,0,0,0,128,6,14,30.0
126,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,6,0,0,27,69,0,74,40,26,0,0,0,206,19,22,46.3
127,Takuma Asano,jp JPN,"CC,DL",Hannover 96,de Bundesliga,23,1994,7.8,0,0,0,5,14,5,9,2,3,0,0,0,25,5,22,18.5
128,Santiago Ascacíbar,ar ARG,CC,Stuttgart,de Bundesliga,21,1997,27.0,10,1,0,24,33,0,11,43,50,0,0,1,190,28,39,41.8
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,29,1989,32.0,0,0,0,0,3,0,0,3,0,0,0,0,37,7,2,77.8
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,22,1996,19.8,3,0,0,18,21,8,78,14,8,3,0,0,76,4,14,22.2
131,Iago Aspas,es ESP,"DL,CC",Celta Vigo,es La Liga,30,1987,25.0,5,0,0,16,43,7,32,16,11,1,0,0,97,24,43,35.8
132,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,1,0,0,1,0,0,1,3,3,0,0,0,4,2,1,66.7
133,Youcef Atal,dz ALG,"DF,DL",Nice,fr Ligue 1,22,1996,25.1,8,0,0,42,58,9,72,56,44,3,0,0,145,44,41,51.8
134,Christian Atsu,gh GHA,CC,Newcastle Utd,eng Premier League,26,1992,16.6,2,0,0,13,25,4,42,7,15,0,0,0,86,10,58,14.7
135,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,29,1989,30.3,0,0,0,13,23,23,43,8,17,1,0,0,66,32,83,27.8
136,Emil Audero,it ITA,PO,Sampdoria,it Serie A,21,1997,36.0,4,0,0,2,5,0,0,1,3,0,2,0,63,9,0,100.0
137,Jean-Kévin Augustin,fr FRA,DL,RB Leipzig,de Bundesliga,21,1997,5.1,0,0,0,11,16,5,2,3,0,0,0,0,16,1,15,6.3
138,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,33.6,5,0,0,42,26,2,129,38,31,0,1,0,170,63,68,48.1
139,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,25,1992,6.3,1,0,0,17,2,1,24,7,12,0,0,0,31,12,13,48.0
140,Charlie Austin,eng ENG,DL,Southampton,eng Premier League,29,1989,10.9,1,0,0,14,18,9,0,2,7,0,0,0,28,42,80,34.4
141,Ezequiel Ávila,ar ARG,"DL,CC",Huesca,es La Liga,24,1994,22.2,12,1,1,38,46,10,40,13,10,0,0,0,75,68,69,49.6
142,Jordan Ayew,gh GHA,DL,Crystal Palace,eng Premier League,26,1991,13.1,3,0,0,31,25,9,15,7,23,0,0,0,41,32,89,26.4
143,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,27.2,10,0,0,25,16,2,4,59,29,0,2,0,156,44,29,60.3
144,Floyd Ayité,tg TOG,"DL,CC",Fulham,eng Premier League,29,1988,5.3,0,0,0,6,7,4,6,7,4,0,0,0,37,6,7,46.2
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,4,0,0,39,16,2,118,43,60,1,1,0,201,68,50,57.6
146,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,4,2,0,24,13,1,1,29,33,0,3,0,154,68,30,69.4
147,Florian Baak,de GER,CC,Hertha BSC,de Bundesliga,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
148,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,1.4,0,0,0,0,2,0,1,2,3,0,0,0,15,0,1,0.0
149,Khouma Babacar,sn SEN,DL,Sassuolo,it Serie A,25,1993,16.5,0,0,0,30,20,10,3,3,3,1,1,0,37,31,38,44.9
150,Ryan Babel,nl NED,"DL,CC",Fulham,eng Premier League,31,1986,13.9,3,0,0,14,16,9,38,6,4,0,0,0,48,15,19,44.1
151,Carlos Bacca,co COL,DL,Villarreal,es La Liga,31,1986,14.1,3,0,0,19,9,15,6,8,2,1,0,0,30,21,24,46.7
152,Juninho Bacuna,cw CUW,"CC,DF",Huddersfield,eng Premier League,20,1997,15.7,4,0,0,33,22,1,34,24,29,0,1,0,121,17,21,44.7
153,Leandro Bacuna,cw CUW,CC,Cardiff City,eng Premier League,26,1991,6.2,2,0,0,13,3,0,7,15,10,0,0,0,39,7,10,41.2
154,Milan Badelj,hr CRO,CC,Lazio,it Serie A,29,1989,12.7,6,0,0,25,15,0,17,33,20,0,0,1,90,16,13,55.2
155,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,17,2001,19.6,4,0,0,13,6,0,0,21,18,1,1,1,94,36,15,70.6
156,Holger Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,5.8,1,0,0,3,3,0,0,9,4,0,0,0,22,9,12,42.9
157,Stéphane Bahoken,cm CMR,DL,Angers,fr Ligue 1,26,1992,27.4,3,0,0,54,35,30,29,8,7,0,0,0,43,38,78,32.8
158,Daniel Baier,de GER,CC,Augsburg,de Bundesliga,34,1984,31.3,7,0,0,51,50,0,20,60,39,0,0,0,251,28,43,39.4
159,Leon Bailey,jm JAM,DL,Leverkusen,de Bundesliga,20,1997,21.3,4,0,0,17,34,6,163,14,11,0,0,0,126,13,14,48.1
