Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Toques,Toques,Toques,Toques,Toques,Toques,Toques,Tomas,Tomas,Tomas,Tomas,Tomas,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Recepción,Recepción,Unnamed: 31_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
171,Mehmet Aydin,de GER,"DF,DL",Schalke 04,de Bundesliga,20,2002,6.3,380,24,128,165,97,5,380,14,4,28.6,7,50.0,166,963,416,9,12,2,13,3,158,21,Partidos
172,André Ayew,gh GHA,"DL,CC",Nott'ham Forest,eng Premier League,32,1989,3.5,106,11,15,49,42,8,105,6,1,16.7,4,66.7,40,271,102,3,3,2,3,4,62,16,Partidos
173,Jordan Ayew,gh GHA,"DL,CC",Crystal Palace,eng Premier League,30,1991,30.2,1327,46,192,611,560,98,1327,149,65,43.6,59,39.6,801,5195,2372,83,50,31,107,83,932,174,Partidos
174,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,27,1994,6.1,385,54,198,182,6,0,385,0,0,,0,,235,1168,744,8,5,0,0,1,264,0,Partidos
175,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,30,1991,22.8,1413,79,466,578,390,56,1413,33,13,39.4,17,51.5,648,2963,1480,28,20,4,23,12,700,100,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
176,Ayman Azhil,ma MAR,CC,Leverkusen,de Bundesliga,21,2001,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Partidos
177,Sardar Azmoun,ir IRN,"DL,CC",Leverkusen,de Bundesliga,27,1995,10.3,344,13,43,175,135,48,344,11,6,54.5,5,45.5,167,769,343,11,8,8,23,10,256,45,Partidos
178,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,32,1989,17.0,1245,84,424,510,319,25,1245,13,7,53.8,5,38.5,612,2691,1573,23,19,0,12,5,753,81,Partidos
179,Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,18,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Partidos
180,Iddrisu Baba,gh GHA,"CC,DF",Mallorca,es La Liga,26,1996,18.9,773,61,253,476,60,8,773,19,11,57.9,5,26.3,413,1926,498,3,5,0,28,15,398,8,Partidos
181,Srđan Babić,rs SRB,DF,Almería,es La Liga,26,1996,33.3,1640,237,976,633,43,16,1640,8,4,50.0,4,50.0,891,4831,2792,21,13,1,10,3,1013,5,Partidos
182,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,22,2000,16.1,1030,117,572,431,34,10,1030,9,6,66.7,2,22.2,609,2716,1276,7,5,0,6,2,648,2,Partidos
183,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22,2000,1.0,67,7,35,31,2,2,67,0,0,,0,,51,277,100,0,0,0,0,0,51,0,Partidos
184,Édgar Badía,es ESP,PO,Elche,es La Liga,30,1992,36.0,1189,1110,1188,2,0,0,1189,0,0,,0,,599,3229,1937,0,0,0,2,0,401,0,Partidos
185,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,21,2001,10.1,945,95,469,458,25,11,945,3,1,33.3,2,66.7,630,3020,1774,11,2,0,2,3,689,2,Partidos
186,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21,2001,9.3,568,82,240,324,13,7,568,1,0,0.0,1,100.0,402,2118,1114,3,3,1,3,0,349,0,Partidos
