RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
172,Simone Scuffet,it ITA,PO,Udinese,it Serie A,21,1996,6.0,11.0,0.0,0.0,2.0,1.0,8.5,0.28,-1.5,-0.26,28.0,93.0,30.1,115.0,23.0,51.3,38.6,42.0,81.0,51.3,80.0,1.0,1.3,2.0,0.33,11.1
173,Luigi Sepe,it ITA,PO,Napoli,it Serie A,26,1991,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.65,0.6,0.65,2.0,4.0,50.0,14.0,2.0,14.3,25.4,5.0,40.0,37.0,7.0,2.0,28.6,0.0,0.0,13.8
174,Marco Silvestri,it ITA,PO,Hellas Verona,it Serie A,26,1991,2.0,7.0,0.0,0.0,1.0,0.0,4.7,0.19,-2.3,-1.13,11.0,25.0,44.0,30.0,10.0,26.7,30.2,24.0,70.8,49.0,33.0,0.0,0.0,0.0,0.0,11.0
175,Tobias Sippel,de GER,PO,M'Gladbach,de Bundesliga,29,1988,4.8,10.0,0.0,0.0,0.0,0.0,10.2,0.45,0.2,0.05,31.0,88.0,35.2,153.0,15.0,41.2,37.1,34.0,73.5,53.3,63.0,3.0,4.8,5.0,1.04,14.8
176,Salvatore Sirigu,it ITA,PO,Torino,it Serie A,30,1987,37.0,45.0,5.0,3.0,5.0,0.0,47.0,0.25,2.0,0.05,237.0,541.0,43.8,987.0,198.0,35.6,34.1,319.0,59.6,44.3,621.0,32.0,5.2,49.0,1.32,13.8
177,Antonio Sivera,es ESP,PO,Alavés,es La Liga,20,1996,0.7,,,,,,0.2,0.17,,,5.0,13.0,38.5,10.0,2.0,80.0,48.6,5.0,100.0,66.4,11.0,,,,,9.0
178,Łukasz Skorupski,pl POL,PO,Roma,it Serie A,26,1991,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.21,0.6,0.64,7.0,13.0,53.8,30.0,11.0,30.0,31.4,7.0,57.1,37.9,15.0,0.0,0.0,2.0,2.0,20.7
179,Yann Sommer,ch SUI,PO,M'Gladbach,de Bundesliga,28,1988,29.2,42.0,4.0,0.0,6.0,1.0,39.3,0.24,-1.7,-0.06,178.0,482.0,36.9,1009.0,143.0,33.7,33.3,246.0,57.7,44.7,524.0,42.0,8.0,22.0,0.75,11.6
180,David Soria,es ESP,PO,Sevilla,es La Liga,24,1993,14.0,19.0,2.0,0.0,1.0,1.0,17.4,0.29,-0.6,-0.04,69.0,150.0,46.0,279.0,70.0,31.5,32.4,98.0,63.3,47.4,199.0,12.0,6.0,13.0,0.93,13.0
181,Stefano Sorrentino,it ITA,PO,Chievo,it Serie A,38,1979,38.0,59.0,4.0,2.0,11.0,4.0,56.3,0.27,1.3,0.03,249.0,620.0,40.2,799.0,176.0,45.3,36.8,394.0,65.5,42.7,651.0,16.0,2.5,14.0,0.37,10.3
182,Julián Speroni,ar ARG,PO,Crystal Palace,eng Premier League,38,1979,11.0,14.0,1.0,0.0,4.0,0.0,13.3,0.29,-0.7,-0.07,86.0,239.0,36.0,223.0,18.0,69.1,45.2,89.0,95.5,56.9,177.0,6.0,3.4,10.0,0.91,13.7
183,Marco Sportiello,it ITA,PO,Fiorentina,it Serie A,25,1992,35.6,38.0,2.0,2.0,4.0,0.0,36.7,0.26,-1.3,-0.04,152.0,376.0,40.4,773.0,202.0,32.3,32.1,270.0,46.7,38.7,508.0,31.0,6.1,23.0,0.65,12.1
184,Tom Starke,de GER,PO,Bayern Munich,de Bundesliga,36,1981,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,0.7,0.34,4.0,18.0,22.2,48.0,9.0,27.1,31.9,9.0,55.6,42.7,18.0,1.0,5.6,1.0,0.5,20.3
185,Thomas Strakosha,al ALB,PO,Lazio,it Serie A,22,1995,38.0,49.0,9.0,2.0,3.0,2.0,51.3,0.27,4.3,0.11,217.0,466.0,46.6,884.0,180.0,38.6,34.2,307.0,40.7,38.8,437.0,18.0,4.1,35.0,0.92,14.8
186,Danijel Subašić,hr CRO,PO,Monaco,fr Ligue 1,32,1984,32.7,41.0,4.0,1.0,3.0,1.0,38.9,0.29,-1.1,-0.03,165.0,431.0,38.3,655.0,154.0,44.6,37.3,265.0,52.5,44.2,481.0,32.0,6.7,21.0,0.64,13.0
187,Seydou Sy,sn SEN,PO,Monaco,fr Ligue 1,21,1995,2.8,4.0,1.0,0.0,1.0,0.0,5.3,0.3,1.3,0.45,20.0,47.0,42.6,56.0,13.0,32.1,33.3,36.0,80.6,52.7,58.0,3.0,5.2,3.0,1.05,10.6
