RL2020-2021,Jugador2020-2021,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,ACT2020-2021,SCA902020-2021,PassLive2020-2021,PassDead2020-2021,HASTA2020-2021,Dis2020-2021,FR2020-2021,Def2020-2021,ACG2020-2021,GCA902020-2021,PassLive.12020-2021,PassDead.12020-2021,HASTA.12020-2021,Dis.12020-2021,FR.12020-2021,Def.12020-2021
2309,Roland Sallai,hu HUN,"CC,DL",Freiburg,de Bundesliga,23,1997,18.5,43.0,2.33,30.0,0.0,0.0,3.0,10.0,0.0,8.0,0.43,5.0,0.0,0.0,1.0,2.0,0.0
2310,Salvi,es ESP,"CC,DL",Cádiz,es La Liga,29,1991,21.5,34.0,1.58,18.0,9.0,1.0,0.0,5.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
2311,Lazar Samardzic,rs SRB,CC,RB Leipzig,de Bundesliga,18,2002,2.2,3.0,1.35,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0
2312,Diadie Samassékou,ml MLI,CC,Hoffenheim,de Bundesliga,24,1996,28.5,47.0,1.65,39.0,2.0,1.0,2.0,1.0,2.0,7.0,0.25,5.0,0.0,0.0,1.0,1.0,0.0
2313,Mama Samba Baldé,gw GNB,DL,Dijon,fr Ligue 1,24,1995,24.0,45.0,1.87,22.0,0.0,7.0,6.0,10.0,0.0,5.0,0.21,1.0,0.0,2.0,0.0,2.0,0.0
2314,Junior Sambia,fr FRA,"DF,CC",Montpellier,fr Ligue 1,23,1996,27.2,78.0,2.87,57.0,3.0,5.0,2.0,11.0,0.0,14.0,0.51,10.0,1.0,1.0,0.0,2.0,0.0
2315,Frédéric Sammaritano,fr FRA,"DL,CC",Dijon,fr Ligue 1,34,1986,12.6,36.0,2.87,18.0,15.0,1.0,0.0,2.0,0.0,3.0,0.24,2.0,1.0,0.0,0.0,0.0,0.0
2316,Fede San Emeterio,es ESP,CC,Valladolid,es La Liga,23,1997,16.2,10.0,0.62,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4635,Antonio Sanabria,py PAR,DL,Torino,it Serie A,24,1996,21.3,40.0,3.77,33.0,0.0,1.0,4.0,2.0,0.0,5.0,0.47,5.0,0.0,0.0,0.0,0.0,0.0
2319,Oihan Sancet,es ESP,"DL,CC",Athletic Club,es La Liga,20,2000,11.5,27.0,2.34,21.0,0.0,3.0,1.0,2.0,0.0,4.0,0.35,4.0,0.0,0.0,0.0,0.0,0.0
