Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Toques,Toques,Toques,Toques,Toques,Toques,Toques,Tomas,Tomas,Tomas,Tomas,Tomas,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Recepción,Recepción,Unnamed: 31_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
97,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,22,1997,12.2,881,24,187,396,303,26,881,25,20,80.0,5,20.0,430,2075,1099,24,16,12,15,6,518,92,Partidos
98,Faustino Anjorin,eng ENG,DL,Chelsea,eng Premier League,17,2001,0.2,12,0,0,5,7,3,12,2,1,50.0,1,50.0,8,57,25,1,0,1,1,1,8,1,Partidos
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,732,33,222,289,231,26,732,13,6,46.2,7,53.8,417,1780,917,16,19,4,17,10,496,65,Partidos
100,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,32,1986,19.6,1068,54,282,375,426,41,1068,73,36,49.3,37,50.7,614,4593,2262,90,43,11,40,29,629,124,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
101,Janis Antiste,fr FRA,CC,Toulouse,fr Ligue 1,16,2002,0.1,3,0,0,1,2,2,3,0,0,,0,,4,10,2,1,0,1,1,1,4,1,Partidos
102,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,29,1990,19.6,818,11,39,263,532,117,817,103,65,63.1,37,35.9,494,3148,1490,53,42,26,73,45,599,178,Partidos
103,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,31,1987,11.4,582,32,192,252,143,8,582,15,6,40.0,9,60.0,266,1527,856,22,16,3,13,4,302,45,Partidos
104,Mirko Antonucci,it ITA,"DL,CC",Roma,it Serie A,20,1999,0.9,39,0,5,16,18,6,39,0,0,,0,,19,88,48,2,1,0,5,0,19,6,Partidos
105,Vitorino Antunes,pt POR,CC,Getafe,es La Liga,32,1987,0.1,3,0,1,1,1,0,3,0,0,,0,,1,10,0,0,0,0,0,0,2,0,Partidos
106,Christopher Antwi-Adjei,gh GHA,"CC,DL",Paderborn 07,de Bundesliga,25,1994,27.4,1153,20,175,494,509,78,1153,70,35,50.0,35,50.0,693,5597,2767,114,59,45,63,40,713,155,Partidos
107,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,24,1995,2.1,129,2,26,84,20,1,129,1,1,100.0,0,0.0,76,553,288,4,3,0,4,2,79,2,Partidos
