RL2019-2020,Jugador2019-2020,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Cmp2019-2020,Int.2019-2020,% Cmp2019-2020,Dist. tot.2019-2020,Dist. prg.2019-2020,Cmp.12019-2020,Int..12019-2020,% Cmp.12019-2020,Cmp.22019-2020,Int..22019-2020,% Cmp.22019-2020,Cmp.32019-2020,Int..32019-2020,% Cmp.32019-2020,Ass2019-2020,xAG2019-2020,xA2019-2020,A-xAG2019-2020,PC2019-2020,1/32019-2020,PPA2019-2020,CrAP2019-2020,PrgP2019-2020
226,Noah Joel Sarenren Bazee,ng NGA,DL,Augsburg,de Bundesliga,22,1996,4.2,36.0,73.0,49.3,510.0,165.0,23.0,36.0,63.9,5.0,10.0,50.0,4.0,4.0,100.0,0,0.6,0.8,-0.6,5.0,1.0,1.0,1.0,4.0
227,Ihlas Bebou,tg TOG,"DL,CC",Hoffenheim,de Bundesliga,25,1994,23.4,429.0,640.0,67.0,5614.0,1386.0,274.0,357.0,76.8,105.0,155.0,67.7,21.0,44.0,47.7,1,3.7,1.8,-2.7,30.0,30.0,21.0,5.0,48.0
228,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,23,1996,24.6,878.0,1036.0,84.7,16103.0,6335.0,364.0,394.0,92.4,408.0,458.0,89.1,92.0,147.0,62.6,1,0.6,0.2,0.4,2.0,51.0,1.0,0.0,59.0
229,Sheraldo Becker,sr SUR,"CC,DL",Union Berlin,de Bundesliga,24,1995,6.0,77.0,134.0,57.5,1174.0,505.0,38.0,52.0,73.1,31.0,53.0,58.5,4.0,12.0,33.3,2,0.9,0.8,1.1,8.0,4.0,4.0,3.0,5.0
230,Timo Becker,de GER,"DF,CC",Schalke 04,de Bundesliga,22,1997,3.7,112.0,147.0,76.2,2000.0,785.0,52.0,59.0,88.1,44.0,55.0,80.0,13.0,19.0,68.4,0,0.2,0.7,-0.2,4.0,13.0,2.0,1.0,14.0
231,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,23,1996,34.0,1183.0,1595.0,74.2,21460.0,8491.0,480.0,568.0,84.5,589.0,758.0,77.7,103.0,222.0,46.4,1,1.1,0.7,-0.1,3.0,57.0,2.0,0.0,90.0
232,Asmir Begović,ba BIH,PO,Milan,it Serie A,32,1987,1.4,31.0,38.0,81.6,767.0,547.0,5.0,5.0,100.0,19.0,19.0,100.0,7.0,14.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Valon Behrami,ch SUI,CC,Genoa,it Serie A,34,1985,12.3,365.0,441.0,82.8,5457.0,1558.0,199.0,224.0,88.8,131.0,149.0,87.9,19.0,28.0,67.9,0,0.0,0.3,0.0,0.0,33.0,6.0,1.0,38.0
234,Maximilian Beier,de GER,DL,Hoffenheim,de Bundesliga,16,2002,1.2,12.0,19.0,63.2,147.0,29.0,5.0,8.0,62.5,5.0,8.0,62.5,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
235,Gaëtan Belaud,fr FRA,DF,Brest,fr Ligue 1,32,1986,6.4,290.0,372.0,78.0,5588.0,1750.0,122.0,136.0,89.7,128.0,154.0,83.1,39.0,74.0,52.7,0,0.2,0.4,-0.2,2.0,19.0,2.0,1.0,36.0
