RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1480.0,166.0,729.0,721.0,32.0,13.0,1480.0,3.0,3.0,100.0,0.0,0.0,905.0,4909.0,3029.0,6.0,5.0,0.0,3.0,2.0,1105.0,1.0
85,Djavan Anderson,nl NED,"DL,DF",Lazio,it Serie A,24,1995,1.9,90.0,6.0,32.0,30.0,30.0,4.0,90.0,5.0,3.0,60.0,2.0,40.0,42.0,313.0,136.0,4.0,3.0,1.0,5.0,5.0,37.0,4.0
86,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,26,1993,16.6,1168.0,19.0,143.0,564.0,486.0,56.0,1168.0,92.0,63.0,68.5,29.0,31.5,764.0,5752.0,3044.0,106.0,72.0,21.0,48.0,30.0,884.0,132.0
87,Sebastian Andersson,se SWE,DL,Union Berlin,de Bundesliga,28,1991,29.8,1167.0,42.0,80.0,524.0,573.0,120.0,1165.0,52.0,21.0,40.4,31.0,59.6,637.0,2876.0,854.0,34.0,29.0,12.0,94.0,67.0,937.0,204.0
88,Florin Andone,ro ROU,DL,Brighton,eng Premier League,26,1993,0.8,34.0,2.0,7.0,9.0,18.0,3.0,34.0,7.0,2.0,28.6,5.0,71.4,19.0,178.0,93.0,2.0,3.0,1.0,5.0,1.0,17.0,4.0
89,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,28,1990,22.8,1513.0,47.0,240.0,1041.0,248.0,21.0,1513.0,25.0,16.0,64.0,9.0,36.0,723.0,3471.0,1615.0,25.0,25.0,3.0,17.0,20.0,922.0,47.0
90,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,5.9,182.0,174.0,182.0,0.0,0.0,0.0,182.0,0.0,0.0,,0.0,,68.0,364.0,265.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
91,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,24,1994,28.6,1542.0,60.0,350.0,897.0,312.0,28.0,1542.0,41.0,28.0,68.3,13.0,31.7,768.0,3284.0,1325.0,25.0,22.0,5.0,36.0,17.0,831.0,31.0
92,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,22,1996,11.4,708.0,9.0,100.0,525.0,93.0,3.0,708.0,21.0,15.0,71.4,6.0,28.6,432.0,2657.0,1381.0,25.0,21.0,2.0,18.0,17.0,504.0,17.0
93,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,29,1990,8.8,256.0,4.0,12.0,139.0,105.0,21.0,255.0,11.0,8.0,72.7,3.0,27.3,138.0,504.0,223.0,10.0,4.0,2.0,19.0,13.0,201.0,37.0
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1753.0,87.0,429.0,869.0,491.0,8.0,1753.0,35.0,27.0,77.1,8.0,22.9,798.0,4091.0,2068.0,50.0,59.0,4.0,30.0,11.0,802.0,62.0
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13.0,491.0,419.0,491.0,0.0,0.0,0.0,491.0,2.0,2.0,100.0,0.0,0.0,255.0,1155.0,767.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,478.0,14.0,89.0,186.0,208.0,11.0,478.0,5.0,4.0,80.0,1.0,20.0,333.0,1405.0,797.0,21.0,28.0,1.0,6.0,3.0,338.0,70.0
97,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,22,1997,12.2,881.0,24.0,187.0,396.0,303.0,26.0,881.0,25.0,20.0,80.0,5.0,20.0,430.0,2075.0,1099.0,24.0,16.0,12.0,15.0,6.0,518.0,92.0
98,Faustino Anjorin,eng ENG,DL,Chelsea,eng Premier League,17,2001,0.2,12.0,0.0,0.0,5.0,7.0,3.0,12.0,2.0,1.0,50.0,1.0,50.0,8.0,57.0,25.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,732.0,33.0,222.0,289.0,231.0,26.0,732.0,13.0,6.0,46.2,7.0,53.8,417.0,1780.0,917.0,16.0,19.0,4.0,17.0,10.0,496.0,65.0
100,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,32,1986,19.6,1068.0,54.0,282.0,375.0,426.0,41.0,1068.0,73.0,36.0,49.3,37.0,50.7,614.0,4593.0,2262.0,90.0,43.0,11.0,40.0,29.0,629.0,124.0
101,Janis Antiste,fr FRA,CC,Toulouse,fr Ligue 1,16,2002,0.1,3.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,,0.0,,4.0,10.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0
102,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,29,1990,19.6,818.0,11.0,39.0,263.0,532.0,117.0,817.0,103.0,65.0,63.1,37.0,35.9,494.0,3148.0,1490.0,53.0,42.0,26.0,73.0,45.0,599.0,178.0
103,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,31,1987,11.4,582.0,32.0,192.0,252.0,143.0,8.0,582.0,15.0,6.0,40.0,9.0,60.0,266.0,1527.0,856.0,22.0,16.0,3.0,13.0,4.0,302.0,45.0
104,Mirko Antonucci,it ITA,"DL,CC",Roma,it Serie A,20,1999,0.9,39.0,0.0,5.0,16.0,18.0,6.0,39.0,0.0,0.0,,0.0,,19.0,88.0,48.0,2.0,1.0,0.0,5.0,0.0,19.0,6.0
105,Vitorino Antunes,pt POR,CC,Getafe,es La Liga,32,1987,0.1,3.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,,0.0,,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
106,Christopher Antwi-Adjei,gh GHA,"CC,DL",Paderborn 07,de Bundesliga,25,1994,27.4,1153.0,20.0,175.0,494.0,509.0,78.0,1153.0,70.0,35.0,50.0,35.0,50.0,693.0,5597.0,2767.0,114.0,59.0,45.0,63.0,40.0,713.0,155.0
107,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,24,1995,2.1,129.0,2.0,26.0,84.0,20.0,1.0,129.0,1.0,1.0,100.0,0.0,0.0,76.0,553.0,288.0,4.0,3.0,0.0,4.0,2.0,79.0,2.0
108,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,21,1998,21.7,1361.0,10.0,111.0,835.0,446.0,72.0,1361.0,112.0,67.0,59.8,45.0,40.2,924.0,5915.0,3217.0,105.0,78.0,28.0,52.0,38.0,1077.0,127.0
109,Adil Aouchiche,fr FRA,CC,Paris S-G,fr Ligue 1,17,2002,0.7,40.0,0.0,5.0,26.0,10.0,0.0,40.0,3.0,3.0,100.0,0.0,0.0,20.0,71.0,18.0,0.0,0.0,0.0,3.0,0.0,27.0,3.0
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,1154.0,52.0,399.0,568.0,194.0,5.0,1154.0,29.0,22.0,75.9,7.0,24.1,513.0,2662.0,1430.0,23.0,27.0,3.0,21.0,18.0,596.0,32.0
111,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,23,1995,34.1,1360.0,46.0,244.0,825.0,323.0,21.0,1360.0,43.0,30.0,69.8,13.0,30.2,599.0,3275.0,1194.0,30.0,30.0,4.0,45.0,34.0,593.0,41.0
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,69.0,2.0,23.0,26.0,20.0,3.0,69.0,1.0,0.0,0.0,1.0,100.0,35.0,184.0,127.0,3.0,1.0,0.0,1.0,1.0,39.0,6.0
113,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,30,1989,23.5,1861.0,42.0,318.0,1297.0,260.0,23.0,1861.0,24.0,14.0,58.3,10.0,41.7,953.0,4156.0,1876.0,14.0,22.0,1.0,28.0,19.0,1325.0,19.0
114,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,23,1996,9.2,438.0,3.0,50.0,173.0,222.0,29.0,438.0,30.0,22.0,73.3,8.0,26.7,253.0,1848.0,916.0,30.0,22.0,8.0,17.0,15.0,286.0,60.0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1864.0,289.0,1072.0,763.0,43.0,20.0,1864.0,2.0,1.0,50.0,1.0,50.0,1039.0,6339.0,3318.0,21.0,8.0,0.0,10.0,2.0,1144.0,4.0
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,229.0,30.0,103.0,125.0,1.0,1.0,229.0,1.0,1.0,100.0,0.0,0.0,181.0,707.0,386.0,1.0,0.0,0.0,0.0,1.0,184.0,0.0
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1421.0,106.0,505.0,772.0,166.0,8.0,1421.0,13.0,9.0,69.2,4.0,30.8,725.0,4319.0,2018.0,21.0,17.0,1.0,15.0,7.0,709.0,17.0
118,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4.0,138.0,116.0,138.0,0.0,0.0,0.0,138.0,0.0,0.0,,0.0,,75.0,428.0,277.0,0.0,0.0,0.0,0.0,1.0,59.0,0.0
119,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3.0,61.0,44.0,60.0,1.0,0.0,0.0,61.0,0.0,0.0,,0.0,,35.0,187.0,120.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,769.0,43.0,215.0,326.0,232.0,18.0,769.0,7.0,5.0,71.4,2.0,28.6,368.0,1693.0,909.0,27.0,19.0,3.0,11.0,3.0,430.0,76.0
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,5.0,1.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,,0.0,,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
122,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,27,1992,19.1,889.0,49.0,149.0,419.0,335.0,42.0,889.0,53.0,30.0,56.6,23.0,43.4,470.0,3237.0,1472.0,45.0,34.0,8.0,55.0,25.0,544.0,101.0
123,José Arnaiz,es ESP,"DL,CC",Osasuna,es La Liga,24,1995,8.8,286.0,4.0,23.0,130.0,136.0,33.0,286.0,10.0,2.0,20.0,8.0,80.0,179.0,1061.0,443.0,17.0,11.0,9.0,40.0,17.0,199.0,60.0
124,José Arnaiz,es ESP,CC,Leganés,es La Liga,24,1995,3.7,160.0,3.0,16.0,59.0,92.0,14.0,160.0,20.0,12.0,60.0,8.0,40.0,115.0,1035.0,409.0,14.0,8.0,8.0,16.0,9.0,107.0,24.0
125,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,25,1994,31.3,1818.0,54.0,331.0,1052.0,459.0,22.0,1818.0,29.0,19.0,65.5,10.0,34.5,917.0,4175.0,2111.0,35.0,25.0,1.0,33.0,29.0,1044.0,48.0
126,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33.0,1138.0,970.0,1132.0,6.0,0.0,0.0,1138.0,0.0,0.0,,0.0,,672.0,3073.0,1902.0,0.0,0.0,0.0,1.0,0.0,644.0,0.0
127,Kwadwo Asamoah,gh GHA,"DF,DL",Inter,it Serie A,30,1988,7.1,429.0,24.0,109.0,167.0,156.0,17.0,429.0,16.0,12.0,75.0,4.0,25.0,214.0,1196.0,772.0,25.0,16.0,9.0,4.0,6.0,274.0,54.0
128,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,22,1997,7.0,409.0,21.0,120.0,257.0,38.0,0.0,409.0,10.0,7.0,70.0,3.0,30.0,162.0,805.0,314.0,3.0,3.0,0.0,7.0,3.0,188.0,3.0
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34.0,1115.0,1022.0,1113.0,2.0,0.0,0.0,1115.0,1.0,1.0,100.0,0.0,0.0,496.0,2610.0,1667.0,0.0,0.0,0.0,1.0,0.0,442.0,0.0
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,23,1996,3.7,192.0,2.0,25.0,76.0,93.0,13.0,192.0,9.0,5.0,55.6,4.0,44.4,139.0,782.0,307.0,8.0,8.0,4.0,4.0,5.0,155.0,31.0
131,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,18,2001,0.8,41.0,1.0,12.0,25.0,7.0,0.0,41.0,2.0,2.0,100.0,0.0,0.0,29.0,167.0,132.0,2.0,4.0,0.0,2.0,1.0,30.0,0.0
132,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,31,1987,36.2,1656.0,10.0,132.0,748.0,794.0,136.0,1649.0,95.0,52.0,54.7,43.0,45.3,1072.0,6617.0,3192.0,106.0,87.0,37.0,73.0,45.0,1289.0,256.0
133,Roger Assalé,ci CIV,"DL,CC",Leganés,es La Liga,25,1993,5.9,190.0,0.0,11.0,70.0,112.0,30.0,190.0,17.0,11.0,64.7,6.0,35.3,135.0,923.0,476.0,15.0,7.0,8.0,19.0,7.0,151.0,51.0
134,Youcef Atal,dz ALG,"DL,DF",Nice,fr Ligue 1,23,1996,11.1,741.0,13.0,138.0,341.0,280.0,38.0,741.0,106.0,47.0,44.3,59.0,55.7,440.0,3580.0,1900.0,54.0,43.0,27.0,35.0,18.0,496.0,119.0
135,Miguel Atienza,es ESP,CC,Eibar,es La Liga,20,1999,0.3,19.0,1.0,5.0,10.0,4.0,3.0,19.0,0.0,0.0,,0.0,,8.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
