RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
1412,Teun Koopmeiners,nl NED,CC,Atalanta,it Serie A,23,1998,23.6,40.0,24,10.0,19.0,11.0,22.0,54.0,40.7,32.0,31.0,2.0,29.0,15,55.0,19.0,0.0
1413,Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35,1985,10.4,14.0,9,10.0,3.0,1.0,8.0,13.0,61.5,5.0,17.0,12.0,5.0,12,26.0,39.0,0.0
1414,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,20,2001,19.9,23.0,17,16.0,6.0,1.0,15.0,25.0,60.0,10.0,36.0,14.0,22.0,26,49.0,66.0,0.0
1415,Filip Kostić,rs SRB,"DF,DL",Eint Frankfurt,de Bundesliga,28,1992,28.0,44.0,17,26.0,9.0,9.0,20.0,53.0,37.7,33.0,24.0,1.0,23.0,15,59.0,24.0,0.0
1416,Rominigue Kouamé,ml MLI,CC,Troyes,fr Ligue 1,24,1996,33.0,47.0,22,24.0,20.0,3.0,19.0,58.0,32.8,39.0,33.0,5.0,28.0,46,93.0,22.0,2.0
1417,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,30,1991,26.7,39.0,23,31.0,6.0,2.0,25.0,38.0,65.8,13.0,41.0,25.0,16.0,29,68.0,90.0,1.0
1418,Jules Koundé,fr FRA,DF,Sevilla,es La Liga,22,1998,30.4,40.0,17,27.0,10.0,3.0,18.0,28.0,64.3,10.0,33.0,18.0,15.0,21,61.0,101.0,2.0
1419,Christos Kourfalidis,gr GRE,"CC,DL",Cagliari,it Serie A,18,2002,0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0
1420,Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,24,1997,29.6,84.0,50,56.0,28.0,0.0,48.0,77.0,62.3,29.0,63.0,33.0,30.0,79,163.0,217.0,3.0
1421,Cheikhou Kouyaté,sn SEN,CC,Crystal Palace,eng Premier League,31,1989,21.9,52.0,38,28.0,22.0,2.0,18.0,39.0,46.2,21.0,40.0,14.0,26.0,38,90.0,39.0,0.0
