Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
2113,Marc Roca,es ESP,CC,Espanyol,es La Liga,20,1996,2.9,170,165,4,3,0,2,1,0,1,1,0,0,151,1,1,Partidos
2114,Rubén Rochina,es ESP,"CC,DF",Levante,es La Liga,26,1991,1.7,86,79,3,3,0,1,1,0,0,0,0,0,62,4,3,Partidos
2115,Ronny Rodelin,fr FRA,"DL,CC",Caen,fr Ligue 1,27,1989,35.1,1372,1321,40,1,5,41,78,12,0,0,0,0,952,11,36,Partidos
2116,Rodri,es ESP,CC,Villarreal,es La Liga,21,1996,35.9,2483,2412,66,66,3,20,5,0,0,0,0,0,2227,5,22,Partidos
2117,Rodrigo,es ESP,DL,Valencia,es La Liga,26,1991,29.8,928,900,21,3,12,12,26,3,2,0,0,0,688,7,25,Partidos
2118,Kévin Rodrigues,pt POR,DF,Real Sociedad,es La Liga,23,1994,18.2,927,760,165,11,0,3,70,153,1,0,0,0,726,2,26,Partidos
2119,Ángel Rodríguez,es ESP,DL,Getafe,es La Liga,30,1987,25.5,392,374,15,1,3,5,20,1,0,0,0,0,260,3,21,Partidos
2120,Iván Rodríguez,es ESP,DF,Málaga,es La Liga,21,1996,0.2,11,10,1,1,0,0,0,0,0,0,0,0,10,0,0,Partidos
2121,James Rodríguez,co COL,"CC,DL",Bayern Munich,de Bundesliga,26,1991,18.0,1590,1433,149,61,5,32,132,17,58,11,41,0,1347,8,27,Partidos
2122,Jay Rodriguez,eng ENG,"DL,CC",West Brom,eng Premier League,28,1989,31.2,740,691,47,2,4,6,30,4,3,2,0,0,517,2,26,Partidos
2123,Ricardo Rodríguez,ch SUI,DF,Milan,it Serie A,24,1992,33.4,2090,1837,244,29,0,43,120,214,1,1,0,0,1739,9,46,Partidos
2124,Marko Rog,hr CRO,"CC,DL",Napoli,it Serie A,22,1995,3.2,287,283,2,1,1,0,5,1,0,0,0,0,246,2,6,Partidos
2125,Rogério,br BRA,DF,Sassuolo,it Serie A,19,1998,10.1,451,374,70,8,2,2,26,62,0,0,0,0,319,7,15,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
2126,Marcus Rohdén,se SWE,CC,Crotone,it Serie A,26,1991,18.1,520,509,8,1,2,2,15,5,0,0,0,0,345,3,20,Partidos
2127,Marcos Rojo,ar ARG,DF,Manchester Utd,eng Premier League,27,1990,7.1,362,352,10,7,0,5,1,3,0,0,0,0,295,0,3,Partidos
2128,Diego Rolán,uy URU,"DL,CC",Málaga,es La Liga,24,1993,21.6,606,568,36,2,3,2,27,5,1,0,0,0,472,2,18,Partidos
2129,Rolando,pt POR,DF,Marseille,fr Ligue 1,31,1985,27.9,1354,1312,40,39,2,21,0,1,0,0,0,0,1210,2,3,Partidos
2130,Esteban Rolón,ar ARG,CC,Málaga,es La Liga,22,1995,4.6,138,134,3,3,1,1,1,0,0,0,0,0,105,1,4,Partidos
2131,Filippo Romagna,it ITA,DF,Cagliari,it Serie A,20,1997,21.0,877,828,43,33,0,6,14,9,0,0,0,0,667,6,16,Partidos
2132,Alessio Romagnoli,it ITA,DF,Milan,it Serie A,22,1995,26.1,1491,1431,57,32,0,3,5,25,0,0,0,0,1356,3,11,Partidos
2133,Simone Romagnoli,it ITA,DF,Bologna,it Serie A,27,1990,6.2,279,267,11,8,0,4,0,3,0,0,0,0,226,1,2,Partidos
2134,Aristóteles Romero,ve VEN,"CC,DL",Crotone,it Serie A,21,1995,1.0,49,49,0,0,0,2,0,0,0,0,0,0,37,0,2,Partidos
2135,Óscar Romero,py PAR,"CC,DL",Alavés,es La Liga,25,1992,2.8,74,61,13,9,0,2,6,1,3,2,1,0,44,0,1,Partidos
2136,Sergio Romero,ar ARG,PO,Manchester Utd,eng Premier League,30,1987,1.0,25,15,10,3,0,0,0,0,0,0,0,0,17,0,0,Partidos
2137,Oriol Romeu,es ESP,CC,Southampton,eng Premier League,25,1991,32.2,1854,1830,21,19,2,17,6,2,0,0,0,0,1524,3,27,Partidos
2138,Rômulo,it ITA,"CC,DF",Hellas Verona,it Serie A,30,1987,35.2,1593,1347,240,56,2,12,193,116,60,18,35,0,1168,6,63,Partidos
2139,Cristiano Ronaldo,pt POR,DL,Real Madrid,es La Liga,32,1985,25.4,789,747,34,3,5,5,34,15,4,0,0,0,615,8,24,Partidos
2140,Facundo Roncaglia,ar ARG,DF,Celta Vigo,es La Liga,30,1987,16.6,1083,1046,36,30,2,26,6,6,0,0,0,0,945,1,8,Partidos
2141,Salomón Rondón,ve VEN,DL,West Brom,eng Premier League,27,1989,30.7,874,834,38,3,4,3,35,4,0,0,0,0,564,2,33,Partidos
2142,Valentin Rongier,fr FRA,CC,Nantes,fr Ligue 1,22,1994,26.1,1353,1290,55,18,4,12,9,3,0,0,0,0,1166,8,16,Partidos
2143,Marten de Roon,nl NED,CC,Atalanta,it Serie A,26,1991,28.6,1699,1651,41,28,0,22,4,13,0,0,0,0,1431,7,23,Partidos
2144,Wayne Rooney,eng ENG,"CC,DL",Everton,eng Premier League,31,1985,25.2,1241,1140,94,37,9,23,62,10,30,13,13,3,934,7,27,Partidos
2145,Roberto Rosales,ve VEN,DF,Málaga,es La Liga,28,1988,34.7,1936,1481,442,52,0,17,168,345,44,23,19,1,1359,13,52,Partidos
2146,Danny Rose,eng ENG,DF,Tottenham,eng Premier League,27,1990,8.9,535,407,127,13,0,3,57,99,15,3,7,0,401,1,18,Partidos
2147,Liam Rosenior,eng ENG,DF,Brighton,eng Premier League,33,1984,1.8,89,66,22,0,0,0,1,22,0,0,0,0,60,1,3,Partidos
2148,Aleandro Rosi,it ITA,DF,Genoa,it Serie A,30,1987,18.9,815,636,174,5,1,1,55,169,0,0,0,0,564,5,26,Partidos
2149,Valentin Rosier,fr FRA,DF,Dijon,fr Ligue 1,20,1996,30.9,1469,1153,311,11,2,6,53,300,0,0,0,0,1129,5,34,Partidos
2150,Luca Rossettini,it ITA,DF,Genoa,it Serie A,32,1985,22.5,1023,989,29,21,0,5,4,8,0,0,0,0,849,5,8,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
2151,Francesco Rossi,it ITA,PO,Atalanta,it Serie A,26,1991,0.1,3,2,1,1,0,0,0,0,0,0,0,0,3,0,0,Partidos
2152,Giuseppe Rossi,it ITA,"DL,CC",Genoa,it Serie A,30,1987,2.9,109,104,4,0,1,1,3,0,2,1,1,0,88,1,2,Partidos
2153,Jérôme Roussillon,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,20.9,1015,770,241,25,1,9,94,205,11,2,8,0,762,4,45,Partidos
2154,Wayne Routledge,eng ENG,"CC,DL",Swansea City,eng Premier League,32,1985,4.8,177,171,5,0,0,0,15,1,3,2,0,0,115,1,9,Partidos
2155,Nolan Roux,fr FRA,"DL,CC",Metz,fr Ligue 1,29,1988,31.5,807,777,27,1,2,11,20,3,0,0,0,0,541,3,20,Partidos
2156,Rubén,es ESP,PO,La Coruña,es La Liga,33,1984,27.5,712,392,316,82,0,1,0,0,0,0,0,0,442,4,0,Partidos
2157,Antonio Rüdiger,de GER,DF,Chelsea,eng Premier League,24,1993,26.0,1735,1695,35,24,3,35,10,11,0,0,0,0,1540,5,7,Partidos
2158,Sebastian Rudy,de GER,CC,Bayern Munich,de Bundesliga,27,1990,16.8,1082,1022,55,28,0,9,37,2,24,17,4,1,944,5,19,Partidos
2159,Stéphane Ruffier,fr FRA,PO,Saint-Étienne,fr Ligue 1,30,1986,34.6,1142,761,380,104,0,3,0,0,0,0,0,0,782,1,3,Partidos
2160,Vincent Rüfli,ch SUI,"DF,DL",Dijon,fr Ligue 1,29,1988,0.3,13,8,5,0,0,0,0,5,0,0,0,0,10,0,0,Partidos
2161,Daniele Rugani,it ITA,DF,Juventus,it Serie A,23,1994,21.5,1512,1485,25,24,0,11,2,1,0,0,0,0,1371,2,5,Partidos
2162,Mário Rui,pt POR,DF,Napoli,it Serie A,26,1991,23.2,2176,1881,289,33,0,2,112,205,51,37,5,0,1846,6,42,Partidos
2163,Aitor Ruibal,es ESP,CC,Betis,es La Liga,21,1996,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Partidos
2164,Fabián Ruiz Peña,es ESP,CC,Betis,es La Liga,21,1996,29.5,2120,2063,47,34,6,21,15,11,2,0,1,0,1813,10,43,Partidos
2165,Víctor Ruiz,es ESP,DF,Villarreal,es La Liga,28,1989,26.8,1430,1351,73,71,2,22,2,2,0,0,0,0,1218,6,8,Partidos
2166,Antonio Rukavina,rs SRB,DF,Villarreal,es La Liga,33,1984,14.1,628,483,143,8,1,0,27,135,0,0,0,0,489,2,12,Partidos
