RL2017-2018,Jugador2017-2018,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Int.2017-2018,Balón vivo2017-2018,Balón muerto2017-2018,FK2017-2018,PL2017-2018,Camb.2017-2018,Pcz2017-2018,Lanz.2017-2018,SE2017-2018,Dentro2017-2018,Fuera2017-2018,Rect.2017-2018,Cmp2017-2018,PA2017-2018,Bloqueos2017-2018
2224,Arona Sané,sn SEN,"CC,DL",Atlético Madrid,es La Liga,22.0,1995.0,0.7,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2225,Lamine Sané,sn SEN,DF,Werder Bremen,de Bundesliga,30.0,1987.0,8.7,395.0,378.0,17.0,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,324.0,0.0,5.0
2226,Leroy Sané,de GER,DL,Manchester City,eng Premier League,21.0,1996.0,26.9,1208.0,1125.0,80.0,4.0,2.0,2.0,93.0,21.0,55.0,2.0,39.0,0.0,957.0,3.0,30.0
2227,Salif Sané,sn SEN,DF,Hannover 96,de Bundesliga,26.0,1990.0,32.0,1813.0,1668.0,139.0,127.0,1.0,15.0,4.0,12.0,0.0,0.0,0.0,0.0,1459.0,6.0,22.0
2228,Ibrahim Sangaré,ci CIV,CC,Toulouse,fr Ligue 1,19.0,1997.0,17.6,829.0,805.0,23.0,13.0,7.0,10.0,15.0,6.0,0.0,0.0,0.0,0.0,609.0,1.0,18.0
2229,Younousse Sankharé,sn SEN,CC,Bordeaux,fr Ligue 1,27.0,1989.0,20.9,894.0,869.0,19.0,14.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,752.0,6.0,10.0
2230,Baissama Sankoh,gn GUI,"CC,DF",Caen,fr Ligue 1,25.0,1992.0,17.1,541.0,532.0,8.0,5.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,423.0,1.0,7.0
2231,Siriki Sanogo,ci CIV,CC,Benevento,it Serie A,15.0,2001.0,0.4,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0
2232,Yaya Sanogo,fr FRA,DL,Toulouse,fr Ligue 1,24.0,1993.0,16.8,320.0,308.0,12.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,18.0
2233,Morgan Sanson,fr FRA,CC,Marseille,fr Ligue 1,22.0,1994.0,24.1,1078.0,1041.0,30.0,12.0,11.0,16.0,82.0,10.0,7.0,7.0,0.0,0.0,831.0,7.0,23.0
2234,Nicola Sansone,it ITA,"DL,CC",Villarreal,es La Liga,25.0,1991.0,7.1,239.0,211.0,24.0,3.0,1.0,2.0,17.0,2.0,9.0,4.0,0.0,1.0,177.0,4.0,10.0
2235,Baptiste Santamaria,fr FRA,CC,Angers,fr Ligue 1,22.0,1995.0,28.8,1191.0,1184.0,4.0,1.0,4.0,12.0,16.0,2.0,1.0,1.0,0.0,0.0,929.0,3.0,16.0
2236,Ivan Santini,hr CRO,DL,Caen,fr Ligue 1,28.0,1989.0,30.9,717.0,695.0,20.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,452.0,2.0,20.0
2237,Davide Santon,it ITA,DF,Inter,it Serie A,26.0,1991.0,9.3,549.0,477.0,69.0,5.0,1.0,5.0,16.0,64.0,0.0,0.0,0.0,0.0,439.0,3.0,12.0
2238,Christian Santos,ve VEN,DL,Alavés,es La Liga,29.0,1988.0,4.8,137.0,135.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,0.0
2239,Douglas Santos,br BRA,DF,Hamburger SV,de Bundesliga,23.0,1994.0,26.4,1498.0,1133.0,357.0,29.0,0.0,15.0,83.0,318.0,10.0,2.0,7.0,0.0,1040.0,8.0,55.0
2240,Samir Santos,br BRA,DF,Udinese,it Serie A,22.0,1994.0,28.5,1370.0,1201.0,164.0,35.0,0.0,4.0,20.0,128.0,1.0,0.0,1.0,0.0,1120.0,5.0,21.0
2241,Antonio Santurro,do DOM,PO,Bologna,it Serie A,25.0,1992.0,1.0,47.0,26.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0
2242,Riccardo Saponara,it ITA,"CC,DL",Fiorentina,it Serie A,25.0,1991.0,10.0,444.0,423.0,19.0,5.0,8.0,6.0,24.0,1.0,13.0,3.0,7.0,2.0,347.0,2.0,15.0
2243,Pablo Sarabia,es ESP,"DL,CC",Sevilla,es La Liga,25.0,1992.0,26.6,1178.0,1057.0,113.0,20.0,8.0,3.0,113.0,48.0,45.0,20.0,16.0,0.0,865.0,8.0,45.0
2244,Yusuf Sari,tr TUR,DL,Marseille,fr Ligue 1,18.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2245,Bouna Sarr,sn SEN,"DF,DL",Marseille,fr Ligue 1,25.0,1992.0,19.9,1330.0,1128.0,202.0,19.0,1.0,1.0,84.0,174.0,9.0,3.0,4.0,0.0,1136.0,0.0,25.0
2246,Ismaila Sarr,sn SEN,"DL,CC",Rennes,fr Ligue 1,19.0,1998.0,20.6,441.0,431.0,9.0,1.0,2.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0,328.0,1.0,18.0
2247,Malang Sarr,fr FRA,DF,Nice,fr Ligue 1,18.0,1999.0,14.7,1110.0,1050.0,59.0,27.0,1.0,23.0,11.0,32.0,0.0,0.0,0.0,0.0,980.0,1.0,14.0
2248,Imanol Sarriegi,es ESP,"CC,DL",Eibar,es La Liga,22.0,1995.0,0.5,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2249,Marco Sau,it ITA,"DL,CC",Cagliari,it Serie A,29.0,1987.0,14.6,388.0,370.0,16.0,2.0,0.0,0.0,14.0,2.0,3.0,0.0,0.0,0.0,289.0,2.0,22.0
2250,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,26.0,1991.0,25.5,994.0,962.0,31.0,29.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,809.0,1.0,11.0
2251,Gianluca Scamacca,it ITA,"DL,CC",Sassuolo,it Serie A,18.0,1999.0,0.3,17.0,15.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,2.0
2252,Fabian Schär,ch SUI,DF,La Coruña,es La Liga,25.0,1991.0,24.7,957.0,874.0,72.0,71.0,4.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,758.0,11.0,3.0
2253,Ezequiel Schelotto,it ITA,DF,Brighton,eng Premier League,28.0,1989.0,14.6,621.0,482.0,139.0,6.0,1.0,1.0,33.0,133.0,0.0,0.0,0.0,0.0,448.0,0.0,23.0
